Date Open High Low Close Volume
07/14/2021 "148.10" "149.57" "147.68" "149.15" "127050797"
07/13/2021 "144.03" "147.46" "143.63" "145.64" "100827102"
07/12/2021 "146.21" "146.32" "144.00" "144.50" "76299719"
07/09/2021 "142.75" "145.65" "142.65" "145.11" "99890797"
07/08/2021 "141.58" "144.06" "140.67" "143.24" "105575508"
07/07/2021 "143.54" "144.89" "142.66" "144.57" "104911602"
07/06/2021 "140.07" "143.15" "140.07" "142.02" "108181797"
07/02/2021 "137.90" "140.00" "137.75" "139.96" "78945570"
07/01/2021 "136.60" "137.33" "135.76" "137.27" "52485781"
06/30/2021 "136.17" "137.41" "135.87" "136.96" "63261391"
06/29/2021 "134.80" "136.49" "134.35" "136.33" "64556078"
06/28/2021 "133.41" "135.25" "133.35" "134.78" "62111301"
06/25/2021 "133.46" "133.89" "132.81" "133.11" "70783750"
06/24/2021 "134.45" "134.64" "132.93" "133.41" "68711000"
06/23/2021 "133.77" "134.32" "133.23" "133.70" "60214199"
06/22/2021 "132.13" "134.08" "131.62" "133.98" "74783617"
06/21/2021 "130.30" "132.41" "129.21" "132.30" "79663320"
06/18/2021 "130.71" "131.51" "130.24" "130.46" "108953297"
06/17/2021 "129.80" "132.55" "129.65" "131.79" "96721672"
06/16/2021 "130.37" "130.89" "128.46" "130.15" "91815031"
06/15/2021 "129.94" "130.60" "129.39" "129.64" "62746328"
06/14/2021 "127.82" "130.54" "127.07" "130.48" "96906484"
